name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
LGC LazyPeople V1,https://lh3.googleusercontent.com/MSMc6Hf7cQaUPnKY37ob7kwsZniqp5YNRZxO_Avda5lg_dPQFjEJuZonRvFP3bh1Y6CQlk4iwDYP7UgO3sHW6saqP7tJlWl8cHvs2ik=s120,KLAY,70,1078,6000,-0.6588406803193336,2437.365991172238810446996854,-0.5348525469168901,344.1990879605920989099422050,-0.4806571431984475,243996.9128205444316019216231
Gaia Supernova,https://lh3.googleusercontent.com/hAiWLsSF8BSYRK69Y-F0tZksJ8qWzp7zLo-07MR9OEMRCISa6fTHi1GgDL1cqQ0utUZRczV9zKnZWSEob1NvQmH7gzt0Iz6XyqkS=s120,KLAY,1355,596,1000,0,82135.63320311165211793108494,-0.004165684193979201,12567.73038749481859926354037,0,82135.63320311165211793108494
Meta Adventure Kongz Collaboration,https://lh3.googleusercontent.com/7gB1vnVZwxOOk7djWW7-XBJzD1tqYc-Ntq3gXaD32zfBdMUxJuwTJSHn6sAIXrQ0ocEPoctPf88hRQwQ1fHGeswutXIQ44NhnQvK_gg=s120,KLAY,1250,88,100,-0.2877492877492877,4959.641036896140351647279733,0,2380.627697710147001731411710,0,80911.58387592362048186894920
ARK-RB100,https://lh3.googleusercontent.com/-I8fXkUyg8sBGPmWFkwaoNVfJ8Ah9afvJbt0ME9hWTpkFJw3WunWqXjjnCPTcniFNc7loNNT437kKv94LMHyXDuKSY6GMD2sJHEK=s120,KLAY,7000,85,100,0.2052978403257214,13818.02911710195939473748384,-1,0.000,0.12934746437611983,151936.8784355110581047138293
Klay 3 Kingdoms,https://lh3.googleusercontent.com/q8r6C2147ULAXtKRtL1yOFIG-4SUiqDWMfC-4bgrNoC_y5tRwmMrjk-Sxbojj5RuOxrPkOKHHNLPKWNGGfqZ0YbYoM7oSnELX6E1=s120,KLAY,225,397,1649,1.3850780532598699,10393.96042139146892237910601,-0.4125528913963327,2500.096934669690967395810471,0.46910092056588165,256090.5624699320681932353013
Cuna White Witch,https://lh3.googleusercontent.com/v1-XhSguxocO-TB_UN3X61timVJvvZrsi0gtpSiewCSLAaNjRB0UHhmqA1hoGQ6alXKdcP2sx0UrHjYk7rnsA_4fqscuneNGSKwkQw=s120,KLAY,30,1204,9997,-0.38382034986568775,3731.534723339919294266832492,0.1959677419354837,441.3088594630184870875704148,3.0717562461217054,158674.9552574935635281781159
The Raving Goblins Club,https://lh3.googleusercontent.com/txxSNh8QpFBol7GzQhlT-Sg9FZjBsRbJgA9_UbHTmAUhxAANXv3YR1UgZd23iGi5yZFtH0jeP1xylAlOtN5qyXQkCqz5u2JIgP9C=s120,KLAY,137,1080,4919,3.6473343965369853,48560.78772404705682200599898,-0.16551618346372102,5396.089448143000590143146292,0,59009.95784622131085668300534
Little Toy Club,https://lh3.googleusercontent.com/XE4KRs7G2CkKUBCBehy6QFVqnLDhUuyb4a_XcT5xtjS2DN5yaN4roxdEPhvD72ngadZb49UjTP9SQvwTRbMHrQvdaLQxA_phXcvTvQ=s120,KLAY,32,607,5000,-0.6016255166712593,1482.965514765771968200551125,2.530612244897959,354.9185261052990806447679664,-0.6131239461476363,207930.0934295512563294071744
BIAS CARDS,https://lh3.googleusercontent.com/sbmJDyxScjY8DuaOnM7LbLTvMMfuW8-nfGSHT6Q7hIjc_V8fTVxBS1nwS4_A2wkXKYH8VXtooSAKY3JuSgnYxGzKeVkH_B11B6p4lq8=s120,KLAY,34,1544,4,-0.22128851540616232,4687.852708074230321652400810,-0.6304034582132565,508.8591703855438632428609750,3.014377172993932,68997.92102909266824932328627
META CATS X KOOHYESUN COLLABORATION,https://lh3.googleusercontent.com/Dekwd03u2wyClJ9WcdGBWfhC7LrMwFBTzveJMLH0fe4XkIz94Pv7FNF8ff1eCfwjK4OefjzTC13U7UbD68p0_wq0lyRUBqxurYMREg=s120,KLAY,25,616,3998,-0.690033521640255,463.6507913283097617479942449,-1,0.000,-0.35269012263578176,122727.5666159628368790694272
