name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
RaidParty Fighters,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120,ETH,0.798,585,8119,-0.14120492668964496,1496.147952029341695379,0.6058250860144845,297.497369687789898762,-0.24182682288427956,9334.421736884125493816
Clementines Nightmare,https://lh3.googleusercontent.com/rb3CzNFCXwT3kzh9pxKVnMMegerJAWTblo9A1aQi2ZZeB2Bm9K8-xhdRSrdHktvLMHCTxwAGvdVFsIo7pTwpE4erRNg50sX4_3EWTKo=s120,ETH,0.36,3462,5000,-0.7656834446263948,153.14031471107406901,-0.14116166525135213,9.245999999999998664,0,3890.985365258680303668
Bored Ape Kennel Club,https://lh3.googleusercontent.com/l1wZXP2hHFUQ3turU5VQ9PpgVVasyQ79-ChvCgjoU5xKkBA50OGoJqKZeMOR-qLrzqwIfd1HpYmiv23JWm0EZ14owiPYaufqzmj1=s120,ETH,8.14,5453,9602,1.1705676908904885,1242.703399000000445085,1.5136222514660975,393.477399999999931879,-0.696211628097361,66864.467599379364401102
Do Not Buy! (Old Contract),https://lh3.googleusercontent.com/GgJibqTQ1F9dm55Jy0Ijcln06ttjyvGMJmHq6eRHlnoJbwFxIayLXCpEHnt9Nxviaw0zo9jExN9VLKugf95m3ggAYl-6yN7aToO1=s120,ETH,0,4498,7777,-0.9998449257725996,0.148870000000000086,0.0015,0.0015,0,3545.300362756335289305
Acrocalypse,https://lh3.googleusercontent.com/2A1CFc0BZ_4wmXLeAd-2KgxsRGa_KdkvBRex3BC64HoPnLPzBjPz79xmX5JPq6OXEx8yhc38oGIlh1OjwDqvgU0-Tx_s3P9hAdUY5Fk=s120,ETH,0.51,3760,10025,0.7911278001930103,480.918953396800759492,0.19761346852199457,86.273200000000016985,59.90454873679896,3593.442476683445875096
SkuxxVerse Pass,https://lh3.googleusercontent.com/XwIn-1ZdQpG5KJ9TUIDDvzQxwIdk7xyYnP2077a2Y5bDs8hihErufVuVjYgJXzqnTYtlMMs0z5O-dQVJb9QFRou0gD27D0hfkGxBfg=s120,ETH,0.359,3002,7777,0.013174692725503829,244.574855799999966166,-0.19750447089366832,16.988099999999995759,18603.459662731853,3497.826416593595240556
Look Labs 420 Game,https://lh3.googleusercontent.com/oLh0YxnRwrQLb0G58iVuPOshNhLEe5Djx99pnbR8dqgHTR-2BZKuPXVL3nPH93_BJxDZ2EcOOHVcb3xN7UnMF9yJlgnzuGJVhxF4MQ=s120,ETH,0.73,716,2,3.2823233761060524,1045.699730713431108597,-0.09981139374931673,187.527958696969676566,0,3496.753534346519700193
Hero Galaxy: Heroes,https://lh3.googleusercontent.com/DduOoAikAyFHfZG0FNqYQl3lcdnr5s5FWRtHUuzAcantq7RDCnnROEHOH5hVzYyfxS87t5ugD7hfdfr-jb9dnyDSo2am0G29hR1ko2I=s120,ETH,0.545,2080,5555,0.10716674419005155,209.560336249999977554,-0.27746232138268495,12.934435999999999822,0,3230.257721801864136069
Loser Club Official,https://lh3.googleusercontent.com/lboeLdy4a1Bodfib2FRXkqLeWPCaGbCeWs6GdOMQhXqO7r41feS7iRkyb99qoHaxpmYb9NF7wnvyjt7VU5Jwo2YGrAst5Dgtm_RpRQ=s120,ETH,0.328,5536,10000,1.4790298421357468,2248.265558398471512191,-0.6766375083038177,143.08362689999987083,0,3155.17902921886616241
Gray Boys,https://lh3.googleusercontent.com/YyDYdthDkWfr19tpjCedtcgLdapxiTkQ2zjmPDdBUngMobX-meNlniRtWkfUrXCrk-7o5YgaD31a8nxZKQLUz3S41ImMQgoYKe04Vg=s120,ETH,1.108,3296,10000,-0.2264362125599569,227.694899999999933016,0.8107335337834007,31.91780000000000328,4.119330251079424,5039.927605451824092597
Gutter Juice,https://lh3.googleusercontent.com/xsApnCm19QrZDa8uPuZ8GBoNxRbKW5aPZQsUedWh3giAEM5Oo7dEDDjAQcEdVHDvbDlHfmOOv2mqyv5owaGHWvmDfc4zZ8Nq-gRxbw=s120,ETH,0.22,8009,28000,0,2718.939594749047046207,0.3980390540282199,234.650759000000135757,0,2718.939594749003390461
