name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Genopets Refined Crystals,https://lh3.googleusercontent.com/Q4cGKGGiDfkSsaDt0p4R1UKuzDsusvBgHvh0VmavPT8LJrk5f5Z0bn7Sr0YEvADWSl7qUwUcLCIZ2wJ-lh-eBO_hU4JRQzyi15feSw=s120,SOL,4.5,1547,3681,1.2305411415863603,29.65411249564498152076854076,0,17.68997405439772007632871326,1.596987892513807,491.3502050852812786018374333
Psyker,https://lh3.googleusercontent.com/4q42EaSJJazzgJWaiMPBdBU-eU_W4XkGdfE4ndnvjrjlxTI216IL2yBovtPugGsF2UDTDWBoM5A8IugMYfubvb07ArFodPnylg83YX0=s120,SOL,0.42,2455,7000,2.711189160141254,94.79412239951920329072412029,-0.8636848338321073,2.719779565535383769135571801,-0.6018737871569362,979.1467043028762223330934138
Yaku Engineering ONI-S01,https://lh3.googleusercontent.com/RO-n426J1sFhKcgR0c8c3_kajgFhGHCmgf3NBoSgs9hSz1bk45LOo5jTDYCYPz43SNwlNbGEkzTQnMV_m-SYp7A-ugZTdkMgvAPBHEQ=s120,SOL,,4071,7002,0.42960550126673913,39.09375533026814054967250542,0,15.34058753466218026745269628,-0.71468937759564,2829.583445295401121684555059
Mindfolk,https://lh3.googleusercontent.com/eUfzzEHHbaWl3R3kKVBdWJqoRN3b6C2FygkrL9M_xtSCTNO1kMshghR1z7mDjbUUtJy3smyn42gw2dyz-s2-khCI2rbu0tjp9ytYvA=s120,SOL,95,344,768,-1,0.000,0,0.000,0,261.2734986986518463395023756
Genopets,https://lh3.googleusercontent.com/Q4cGKGGiDfkSsaDt0p4R1UKuzDsusvBgHvh0VmavPT8LJrk5f5Z0bn7Sr0YEvADWSl7qUwUcLCIZ2wJ-lh-eBO_hU4JRQzyi15feSw=s120,SOL,,2694,3218,3.13875,98.89771894889074324023930743,-1,0.000,1.3548473967684025,372.1035387372288227775015684
Cets on Creck,https://lh3.googleusercontent.com/kMVcTy0HKYRkevj4AkM9x7usYDDxZDZcqcsT-4fwMqvrVqGErxMAtHbRPgDnwZGSREDTmksGGuguzWaTcuD-CQpPVJFE33GhW7HyZg=s120,SOL,,3830,6963,-1,0.000,0,0.000,0,245.6394135550008091110936119
Enviro,https://lh3.googleusercontent.com/ogJH3lgCYb9Jgv69kyVZ3JeSQ1W5MvkEhYNZpanZ90y1iJxJx2PkIMNciMukQrl8OjTI6hM5xmmrUWBK8YzUQqQq2KUjAlpsmDAaRQ=s120,SOL,7.1,3959,14000,-0.8843243243243244,23.85036622846716784384170422,-1,0.000,0,230.0334387642815040313172050
BR1: Genesis Apes,https://lh3.googleusercontent.com/wjJXnhMlNt1B9ARpk_oxd9r_Serx0Yp4Rtu5h0ftPmP7VuhC4MDZHm9GvOzAbfWGdadAvZ0o_HXvERmUlqV3KDifx2XJ8yPqRzqd=s120,SOL,,783,2500,0.4093959731543626,41.26797834970394097687851362,0,7.369281848161418723780892309,8.362230928403143,241.7016363386679807033760084
Famous Fox Federation,https://lh3.googleusercontent.com/nO71D1iBJic5oI9QDtXjLfLNG_tx_SXkq64RihXptxV6gdznmV-uoVU58o37mGB_4Vue-YCAiezseaKT4WT3H96RsOi_qrI7L9iOoA=s120,SOL,40,4230,7779,0.24436619718309865,119.9367428142537166370617339,-1,0.000,0,216.3205429253121461682654686
Baby Ape Social Club,https://lh3.googleusercontent.com/K4GmMbVf79PfxQw_B7LdUic_UsV8lA85y9oQRvuC-vx4bLnBRoIXSwZ7ItJfCifb-gEQnTbIvu5svLqQ5tX63hTIHAtrgIoQm2HXXcQ=s120,SOL,,959,5000,0.29248458948857076,82.86992247120456902956938553,4.839153439153437,54.38585064178243748022261670,0,187.2979506419859099601299576
